L_X,L_Y,L_Z,R_X,R_Y,R_Z
0.214677,-1.97755,-0.529972,-1.18422,0.541324,-29.4653
0.213402,-1.97924,-0.526468,-1.18523,0.538685,-29.4613
0.211993,-1.9806,-0.523467,-1.1865,0.5359,-29.4568
0.210414,-1.98166,-0.52113,-1.18801,0.532983,-29.4519
0.208642,-1.98242,-0.519544,-1.18974,0.529935,-29.4466
0.206687,-1.98293,-0.518722,-1.19167,0.526781,-29.4409
0.204571,-1.9832,-0.518671,-1.19375,0.523553,-29.435
0.202345,-1.98328,-0.519335,-1.19595,0.5203,-29.4288
0.200072,-1.98318,-0.520633,-1.19821,0.517069,-29.4225
0.197824,-1.98293,-0.522445,-1.2005,0.513915,-29.4161
0.195678,-1.98252,-0.524664,-1.20276,0.510895,-29.4096
0.193723,-1.98199,-0.527129,-1.20494,0.508074,-29.4032
0.192023,-1.98133,-0.529698,-1.20701,0.505486,-29.3968
0.190655,-1.98057,-0.532187,-1.20894,0.503182,-29.3904
0.189657,-1.97971,-0.534488,-1.21072,0.501191,-29.3842
0.189047,-1.97879,-0.5365,-1.21234,0.499529,-29.378
0.188819,-1.97781,-0.538157,-1.21379,0.498199,-29.372
0.188946,-1.97683,-0.539439,-1.2151,0.497204,-29.3661
0.189365,-1.97585,-0.540408,-1.21627,0.496537,-29.3604
0.190008,-1.97489,-0.541075,-1.21734,0.496189,-29.3551
0.190798,-1.97398,-0.541481,-1.21831,0.496142,-29.35
0.191651,-1.97312,-0.541678,-1.21923,0.496379,-29.3453
0.192489,-1.97231,-0.541689,-1.2201,0.496886,-29.3411
0.193244,-1.97154,-0.541571,-1.22096,0.49765,-29.3373
0.193843,-1.97079,-0.541381,-1.22182,0.498655,-29.3342
0.194235,-1.97004,-0.541167,-1.22273,0.499897,-29.3319
0.194381,-1.96926,-0.540983,-1.22368,0.501359,-29.3304
0.19427,-1.9684,-0.540866,-1.2247,0.503032,-29.33
0.193906,-1.96745,-0.540833,-1.2258,0.504909,-29.3308
0.19331,-1.96638,-0.540865,-1.22699,0.506984,-29.3328
0.192542,-1.9652,-0.540919,-1.22826,0.509251,-29.3363
0.191681,-1.96389,-0.540913,-1.22957,0.511707,-29.3412
0.190817,-1.96247,-0.540732,-1.23087,0.514339,-29.3474
0.190051,-1.96095,-0.540288,-1.23209,0.517148,-29.355
0.1895,-1.95935,-0.539442,-1.23317,0.520112,-29.3638
0.189246,-1.95768,-0.538131,-1.23401,0.523229,-29.3735
0.189371,-1.95593,-0.536278,-1.23454,0.526476,-29.384
0.189931,-1.95412,-0.533872,-1.2347,0.529835,-29.395
0.190959,-1.95225,-0.530917,-1.23442,0.53328,-29.4062
0.192462,-1.95035,-0.527451,-1.23368,0.536778,-29.4175
0.194422,-1.94842,-0.523516,-1.23246,0.540294,-29.4286
0.196781,-1.94653,-0.519227,-1.2308,0.543779,-29.4393
0.19946,-1.9447,-0.514695,-1.22874,0.547184,-29.4494
0.202355,-1.94302,-0.510089,-1.22636,0.550462,-29.4589
0.205353,-1.94153,-0.505544,-1.22377,0.553557,-29.4675
0.208326,-1.94031,-0.501271,-1.2211,0.556441,-29.4753
0.211164,-1.93943,-0.497403,-1.21844,0.559086,-29.4821
0.213795,-1.93893,-0.494059,-1.21588,0.561496,-29.4878
0.216189,-1.93885,-0.491304,-1.21348,0.563692,-29.4924
0.218372,-1.93923,-0.48915,-1.21122,0.565717,-29.4957
