L_X,L_Y,L_Z,R_X,R_Y,R_Z
1.22594,-3.04852,-12.9505,2.84329,-1.00278,-29.3224
1.22307,-3.05008,-12.9458,2.83986,-1.00959,-29.3067
1.21912,-3.05256,-12.9411,2.83481,-1.0171,-29.2932
1.21435,-3.0558,-12.9365,2.82845,-1.02503,-29.2823
1.20898,-3.05965,-12.9321,2.82112,-1.03307,-29.2739
1.20323,-3.06396,-12.9279,2.81313,-1.04099,-29.2682
1.19727,-3.06862,-12.9241,2.80477,-1.04854,-29.2651
1.19125,-3.07351,-12.9204,2.79631,-1.05554,-29.2646
1.18528,-3.07854,-12.917,2.78796,-1.06182,-29.2665
1.17946,-3.08363,-12.9137,2.77994,-1.06728,-29.2706
1.17386,-3.08871,-12.9104,2.77238,-1.07182,-29.2768
1.16851,-3.09374,-12.9071,2.76542,-1.07544,-29.2847
1.16345,-3.09865,-12.9038,2.75913,-1.07814,-29.2941
1.15869,-3.10341,-12.9004,2.75356,-1.07996,-29.3045
1.15426,-3.10796,-12.897,2.74873,-1.081,-29.3158
1.15016,-3.11227,-12.8937,2.74462,-1.08135,-29.3274
1.14639,-3.11628,-12.8906,2.7412,-1.08113,-29.3391
1.14295,-3.11996,-12.888,2.7384,-1.0805,-29.3506
1.13983,-3.12327,-12.8861,2.73615,-1.0796,-29.3615
1.13702,-3.12616,-12.885,2.73435,-1.07857,-29.3715
1.13452,-3.12862,-12.8849,2.73292,-1.07755,-29.3805
1.13231,-3.13064,-12.8861,2.73174,-1.07667,-29.3883
1.13035,-3.13221,-12.8886,2.73069,-1.07604,-29.3947
1.12863,-3.13336,-12.8924,2.72969,-1.07573,-29.3998
1.1271,-3.13414,-12.8974,2.7286,-1.07579,-29.4035
1.12573,-3.1346,-12.9037,2.72735,-1.07627,-29.4061
1.12448,-3.13484,-12.9109,2.72583,-1.07713,-29.4077
1.12331,-3.13494,-12.9187,2.72398,-1.07836,-29.4086
1.12217,-3.13502,-12.9269,2.72172,-1.07988,-29.4092
1.12103,-3.1352,-12.935,2.71902,-1.08163,-29.4097
1.11985,-3.13558,-12.9427,2.71586,-1.08351,-29.4106
1.11857,-3.13628,-12.9496,2.71223,-1.08542,-29.412
1.11718,-3.13738,-12.9554,2.70814,-1.08725,-29.4144
1.11565,-3.13896,-12.9598,2.70365,-1.08891,-29.4177
1.11394,-3.14105,-12.9628,2.69881,-1.0903,-29.4222
1.11205,-3.14368,-12.9642,2.6937,-1.09139,-29.4277
1.10997,-3.14681,-12.964,2.68842,-1.09211,-29.4341
1.10773,-3.15039,-12.9622,2.68306,-1.09246,-29.4412
1.10535,-3.15436,-12.959,2.67773,-1.09243,-29.4488
1.10288,-3.15862,-12.9547,2.67253,-1.09204,-29.4565
1.10039,-3.16304,-12.9492,2.66756,-1.09132,-29.464
1.09794,-3.16752,-12.9431,2.6629,-1.0903,-29.4709
1.09561,-3.17194,-12.9364,2.65861,-1.08904,-29.4769
1.09347,-3.17619,-12.9295,2.65475,-1.08756,-29.482
1.09158,-3.18016,-12.9226,2.65132,-1.08594,-29.4857
1.09001,-3.1838,-12.916,2.64835,-1.0842,-29.4883
1.08878,-3.18702,-12.9099,2.64579,-1.08239,-29.4896
1.08792,-3.18981,-12.9047,2.64363,-1.08058,-29.4898
1.08741,-3.19214,-12.9004,2.6418,-1.07879,-29.4891
1.08722,-3.19402,-12.8973,2.64023,-1.07709,-29.4878
1.0873,-3.19546,-12.8957,2.63887,-1.07551,-29.4861
1.08758,-3.1965,-12.8957,2.63767,-1.0741,-29.4845
1.08798,-3.19716,-12.8975,2.6366,-1.0729,-29.4831
1.08844,-3.19749,-12.9011,2.63565,-1.07193,-29.4822
1.08889,-3.19753,-12.9065,2.63482,-1.0712,-29.482
1.08927,-3.19731,-12.9137,2.63414,-1.07072,-29.4826
1.08957,-3.19689,-12.9224,2.63367,-1.07046,-29.4841
1.08976,-3.19629,-12.9324,2.63345,-1.0704,-29.4865
1.08986,-3.19556,-12.9433,2.63352,-1.07049,-29.4899
1.0899,-3.19475,-12.9545,2.63391,-1.07068,-29.4942
1.0899,-3.19392,-12.9657,2.63462,-1.07091,-29.4994
1.08989,-3.19313,-12.9764,2.63559,-1.07117,-29.5057
1.08987,-3.19246,-12.9861,2.63673,-1.07141,-29.5131
1.08983,-3.192,-12.9945,2.63786,-1.07164,-29.5219
1.08972,-3.19183,-13.0015,2.63875,-1.07189,-29.5323
1.08947,-3.19205,-13.0068,2.63911,-1.07223,-29.5447
1.08904,-3.1927,-13.0107,2.63863,-1.07271,-29.5593
1.08838,-3.19382,-13.0131,2.63701,-1.07339,-29.5764
1.08745,-3.19537,-13.0143,2.63394,-1.07432,-29.5961
1.08625,-3.1973,-13.0146,2.62916,-1.07556,-29.6185
1.08482,-3.19949,-13.0142,2.62246,-1.07712,-29.6434
1.08323,-3.2018,-13.0134,2.61368,-1.07901,-29.6707
1.08155,-3.20405,-13.0124,2.60274,-1.08118,-29.6999
1.07993,-3.20604,-13.0115,2.58962,-1.08359,-29.7303
1.07848,-3.20759,-13.0109,2.57436,-1.08618,-29.7614
1.07734,-3.20853,-13.0105,2.55709,-1.0889,-29.7925
1.0766,-3.20875,-13.0105,2.53793,-1.09173,-29.8228
1.07634,-3.20815,-13.0109,2.51707,-1.09465,-29.8518
1.07659,-3.20671,-13.0119,2.49465,-1.09771,-29.879
1.07732,-3.20445,-13.0137,2.47083,-1.10096,-29.9042
1.07847,-3.20145,-13.0164,2.44578,-1.10444,-29.9271
1.07997,-3.19781,-13.0202,2.41964,-1.10822,-29.9477
1.08169,-3.19364,-13.0254,2.39258,-1.11235,-29.9661
1.08353,-3.1891,-13.0322,2.36478,-1.11684,-29.9825
1.08539,-3.18433,-13.0406,2.33645,-1.12166,-29.9972
1.08718,-3.17946,-13.0508,2.30784,-1.12674,-30.0104
1.08887,-3.17463,-13.0624,2.27924,-1.13194,-30.0221
1.09044,-3.16995,-13.0753,2.25101,-1.13706,-30.0327
1.09193,-3.16552,-13.089,2.22353,-1.14189,-30.0421
1.09338,-3.16142,-13.1027,2.1972,-1.14616,-30.0504
1.09486,-3.15772,-13.1159,2.17244,-1.14962,-30.0577
1.09642,-3.15448,-13.1276,2.14964,-1.15203,-30.0638
1.0981,-3.15178,-13.1371,2.1291,-1.15321,-30.0689
1.09986,-3.14967,-13.1437,2.11108,-1.15308,-30.0732
1.10167,-3.14822,-13.1468,2.09573,-1.15158,-30.0769
1.1034,-3.14751,-13.146,2.08311,-1.14881,-30.0805
1.10494,-3.1476,-13.1412,2.07315,-1.1449,-30.0845
