L_X,L_Y,L_Z,R_X,R_Y,R_Z
1.82274,-5.14815,-3.22375,1.65428,-8.8699,-23.146
1.87778,-5.16811,-3.16446,1.64742,-8.862,-23.1083
1.92823,-5.18968,-3.11452,1.63776,-8.85155,-23.0756
1.9732,-5.2125,-3.07225,1.62537,-8.83896,-23.0478
2.0128,-5.23626,-3.03522,1.61049,-8.82464,-23.0244
2.0479,-5.26066,-3.00073,1.59351,-8.80893,-23.0046
2.07992,-5.28549,-2.9661,1.57498,-8.79219,-22.9874
2.11047,-5.3105,-2.92901,1.55554,-8.77469,-22.9718
2.14106,-5.33549,-2.88773,1.53593,-8.75669,-22.9567
2.17282,-5.36021,-2.84137,1.5169,-8.7384,-22.9409
2.20633,-5.38436,-2.78992,1.49915,-8.72003,-22.9237
2.24159,-5.4076,-2.73423,1.48332,-8.70176,-22.9044
2.27802,-5.42954,-2.67588,1.46989,-8.68377,-22.8828
2.31458,-5.44979,-2.61699,1.45918,-8.66624,-22.8589
2.34993,-5.46798,-2.55975,1.45134,-8.64937,-22.8331
2.3826,-5.48381,-2.50636,1.44632,-8.63333,-22.8061
2.41124,-5.49709,-2.45859,1.44391,-8.61828,-22.7788
2.43478,-5.50779,-2.41767,1.4438,-8.6044,-22.752
2.45259,-5.516,-2.38416,1.44555,-8.59182,-22.7268
2.46456,-5.52198,-2.3579,1.44872,-8.58064,-22.7038
2.47111,-5.52607,-2.33815,1.45279,-8.57094,-22.684
2.47311,-5.52867,-2.32368,1.45732,-8.56275,-22.6676
2.4717,-5.53022,-2.31316,1.46186,-8.55604,-22.6552
2.46811,-5.53109,-2.30528,1.46606,-8.55076,-22.6469
2.46345,-5.53162,-2.29909,1.46963,-8.54679,-22.6425
2.45856,-5.53202,-2.29404,1.47237,-8.54399,-22.6418
2.45394,-5.53242,-2.2901,1.47418,-8.5422,-22.6443
2.44972,-5.53286,-2.28763,1.475,-8.54124,-22.6496
2.44573,-5.53331,-2.28719,1.47486,-8.54093,-22.657
2.44164,-5.53374,-2.28933,1.47379,-8.5411,-22.6659
2.43704,-5.53406,-2.29436,1.47187,-8.54159,-22.6757
2.43163,-5.53424,-2.30218,1.46916,-8.54229,-22.6859
2.42527,-5.53423,-2.31226,1.46572,-8.54307,-22.6961
2.41803,-5.53405,-2.32361,1.4616,-8.54389,-22.7059
2.41021,-5.53372,-2.33496,1.4568,-8.54468,-22.7152
2.40225,-5.53328,-2.34487,1.45135,-8.54541,-22.7237
2.39466,-5.53277,-2.35211,1.44525,-8.54604,-22.7314
2.38792,-5.53225,-2.3558,1.43853,-8.54654,-22.7382
2.38241,-5.53173,-2.35553,1.43124,-8.54685,-22.7441
2.37835,-5.5312,-2.35142,1.42346,-8.54693,-22.749
2.37577,-5.53065,-2.34405,1.41528,-8.54674,-22.753
2.37454,-5.53006,-2.33439,1.40681,-8.54624,-22.756
2.37438,-5.52939,-2.3236,1.39819,-8.54536,-22.7584
2.37495,-5.52862,-2.31289,1.38955,-8.54412,-22.76
2.37591,-5.52773,-2.3034,1.38102,-8.5425,-22.7612
2.37693,-5.5267,-2.296,1.37277,-8.54056,-22.762
2.37782,-5.52559,-2.29117,1.36492,-8.53841,-22.7626
2.3785,-5.52443,-2.28909,1.35762,-8.53617,-22.7629
